Loaded 7,473 train + 1,319 test = 8,792 total rows

Loading model: Qwen/Qwen2.5-7B-Instruct
Model loaded.

── Building next_subquestion_pairs_gsm8k_v2.csv ──
  [2162/8792] Generating subquestions (7 steps)...
  [2163/8792] Generating subquestions (3 steps)...
  [2164/8792] Generating subquestions (5 steps)...
  [2166/8792] Generating subquestions (3 steps)...
  [2167/8792] Generating subquestions (4 steps)...
  [2168/8792] Generating subquestions (5 steps)...
  [2169/8792] Generating subquestions (2 steps)...
  [2170/8792] Generating subquestions (2 steps)...
  [2171/8792] Generating subquestions (4 steps)...
  [2172/8792] Generating subquestions (3 steps)...
  [2173/8792] Generating subquestions (2 steps)...
  [2174/8792] Generating subquestions (2 steps)...
  [2175/8792] Generating subquestions (4 steps)...
  [2176/8792] Generating subquestions (4 steps)...
  [2177/8792] Generating subquestions (2 steps)...
  [2178/8792] Generating subquestions (5 steps)...
  [2179/8792] Generating subquestions (4 steps)...
  [2180/8792] Generating subquestions (5 steps)...
  [2181/8792] Generating subquestions (3 steps)...
  [2182/8792] Generating subquestions (4 steps)...
  [2183/8792] Generating subquestions (3 steps)...
  [2184/8792] Generating subquestions (5 steps)...
  [2185/8792] Generating subquestions (4 steps)...
  [2186/8792] Generating subquestions (2 steps)...
  [2187/8792] Generating subquestions (4 steps)...
  [2188/8792] Generating subquestions (3 steps)...
  [2189/8792] Generating subquestions (5 steps)...
  [2190/8792] Generating subquestions (4 steps)...
  [2191/8792] Generating subquestions (7 steps)...
  [2192/8792] Generating subquestions (5 steps)...
  [2193/8792] Generating subquestions (5 steps)...
  [2194/8792] Generating subquestions (4 steps)...
  [2195/8792] Generating subquestions (2 steps)...
  [2196/8792] Generating subquestions (2 steps)...
  [2197/8792] Generating subquestions (2 steps)...
  [2198/8792] Generating subquestions (2 steps)...
  [2199/8792] Generating subquestions (6 steps)...
  [2200/8792] Generating subquestions (2 steps)...
  [2201/8792] Generating subquestions (3 steps)...
  [2202/8792] Generating subquestions (3 steps)...
  [2203/8792] Generating subquestions (4 steps)...
  [2204/8792] Generating subquestions (2 steps)...
  [2206/8792] Generating subquestions (6 steps)...
  [2207/8792] Generating subquestions (4 steps)...
  [2208/8792] Generating subquestions (3 steps)...
  [2209/8792] Generating subquestions (3 steps)...
  [2210/8792] Generating subquestions (2 steps)...
  [2211/8792] Generating subquestions (2 steps)...
  [2212/8792] Generating subquestions (5 steps)...
  [2213/8792] Generating subquestions (6 steps)...
  [2214/8792] Generating subquestions (2 steps)...
  [2215/8792] Generating subquestions (2 steps)...
  [2216/8792] Generating subquestions (5 steps)...
  [2217/8792] Generating subquestions (3 steps)...
  [2218/8792] Generating subquestions (3 steps)...
  [2220/8792] Generating subquestions (2 steps)...
  [2221/8792] Generating subquestions (5 steps)...
  [2222/8792] Generating subquestions (3 steps)...
  [2223/8792] Generating subquestions (3 steps)...
  [2224/8792] Generating subquestions (3 steps)...
  [2225/8792] Generating subquestions (4 steps)...
  [2226/8792] Generating subquestions (3 steps)...
  [2227/8792] Generating subquestions (3 steps)...
  [2228/8792] Generating subquestions (3 steps)...
  [2229/8792] Generating subquestions (3 steps)...
  [2230/8792] Generating subquestions (3 steps)...
  [2231/8792] Generating subquestions (3 steps)...
  [2232/8792] Generating subquestions (4 steps)...
  [2233/8792] Generating subquestions (3 steps)...
  [2234/8792] Generating subquestions (3 steps)...
  [2235/8792] Generating subquestions (6 steps)...
  [2236/8792] Generating subquestions (5 steps)...
  [2237/8792] Generating subquestions (2 steps)...
  [2238/8792] Generating subquestions (4 steps)...
  [2239/8792] Generating subquestions (2 steps)...
  [2240/8792] Generating subquestions (4 steps)...
  [2241/8792] Generating subquestions (4 steps)...
  [2243/8792] Generating subquestions (2 steps)...
  [2244/8792] Generating subquestions (3 steps)...
  [2246/8792] Generating subquestions (3 steps)...
  [2248/8792] Generating subquestions (3 steps)...
  [2249/8792] Generating subquestions (3 steps)...
  [2250/8792] Generating subquestions (5 steps)...
  [2251/8792] Generating subquestions (3 steps)...
  [2252/8792] Generating subquestions (3 steps)...
  [2253/8792] Generating subquestions (3 steps)...
  [2254/8792] Generating subquestions (2 steps)...
  [2255/8792] Generating subquestions (3 steps)...
  [2256/8792] Generating subquestions (6 steps)...
  [2257/8792] Generating subquestions (4 steps)...
  [2258/8792] Generating subquestions (2 steps)...
  [2259/8792] Generating subquestions (2 steps)...
  [2260/8792] Generating subquestions (2 steps)...
  [2263/8792] Generating subquestions (2 steps)...
  [2264/8792] Generating subquestions (2 steps)...
  [2265/8792] Generating subquestions (2 steps)...
  [2267/8792] Generating subquestions (3 steps)...
  [2268/8792] Generating subquestions (5 steps)...
  [2269/8792] Generating subquestions (3 steps)...
  [2270/8792] Generating subquestions (6 steps)...
  [2271/8792] Generating subquestions (6 steps)...
  [2272/8792] Generating subquestions (2 steps)...
  [2273/8792] Generating subquestions (5 steps)...
  [2274/8792] Generating subquestions (5 steps)...
  [2275/8792] Generating subquestions (2 steps)...
  [2276/8792] Generating subquestions (2 steps)...
  [2277/8792] Generating subquestions (3 steps)...
  [2278/8792] Generating subquestions (2 steps)...
  [2279/8792] Generating subquestions (5 steps)...
  [2280/8792] Generating subquestions (3 steps)...
  [2281/8792] Generating subquestions (4 steps)...
  [2282/8792] Generating subquestions (3 steps)...
  [2283/8792] Generating subquestions (3 steps)...
  [2284/8792] Generating subquestions (5 steps)...
  [2285/8792] Generating subquestions (2 steps)...
  [2286/8792] Generating subquestions (3 steps)...
  [2287/8792] Generating subquestions (2 steps)...
  [2289/8792] Generating subquestions (4 steps)...
  [2290/8792] Generating subquestions (3 steps)...
  [2291/8792] Generating subquestions (2 steps)...
  [2292/8792] Generating subquestions (6 steps)...
  [2293/8792] Generating subquestions (2 steps)...
  [2295/8792] Generating subquestions (3 steps)...
  [2296/8792] Generating subquestions (2 steps)...
  [2297/8792] Generating subquestions (3 steps)...
  [2298/8792] Generating subquestions (2 steps)...
  [2299/8792] Generating subquestions (2 steps)...
  [2300/8792] Generating subquestions (2 steps)...
  [2301/8792] Generating subquestions (5 steps)...
  [2302/8792] Generating subquestions (2 steps)...
  [2303/8792] Generating subquestions (3 steps)...
  [2306/8792] Generating subquestions (3 steps)...
  [2307/8792] Generating subquestions (5 steps)...
  [2308/8792] Generating subquestions (3 steps)...
  [2309/8792] Generating subquestions (4 steps)...
  [2310/8792] Generating subquestions (7 steps)...
  [2311/8792] Generating subquestions (2 steps)...
  [2312/8792] Generating subquestions (4 steps)...
  [2313/8792] Generating subquestions (3 steps)...
  [2314/8792] Generating subquestions (3 steps)...
  [2315/8792] Generating subquestions (2 steps)...
  [2316/8792] Generating subquestions (4 steps)...
  [2317/8792] Generating subquestions (5 steps)...
  [2318/8792] Generating subquestions (5 steps)...
  [2319/8792] Generating subquestions (5 steps)...
  [2320/8792] Generating subquestions (3 steps)...
  [2321/8792] Generating subquestions (5 steps)...
  [2322/8792] Generating subquestions (2 steps)...
  [2323/8792] Generating subquestions (5 steps)...
  [2324/8792] Generating subquestions (3 steps)...
  [2325/8792] Generating subquestions (3 steps)...
  [2326/8792] Generating subquestions (2 steps)...
  [2327/8792] Generating subquestions (2 steps)...
  [2328/8792] Generating subquestions (4 steps)...
  [2330/8792] Generating subquestions (2 steps)...
  [2331/8792] Generating subquestions (4 steps)...
  [2332/8792] Generating subquestions (3 steps)...
  [2333/8792] Generating subquestions (2 steps)...
  [2334/8792] Generating subquestions (2 steps)...
  [2335/8792] Generating subquestions (3 steps)...
  [2336/8792] Generating subquestions (2 steps)...
  [2337/8792] Generating subquestions (4 steps)...
  [2338/8792] Generating subquestions (5 steps)...
  [2339/8792] Generating subquestions (3 steps)...
  [2340/8792] Generating subquestions (2 steps)...
  [2342/8792] Generating subquestions (3 steps)...
  [2343/8792] Generating subquestions (4 steps)...
  [2344/8792] Generating subquestions (3 steps)...
  [2345/8792] Generating subquestions (3 steps)...
  [2346/8792] Generating subquestions (8 steps)...
  [2347/8792] Generating subquestions (4 steps)...
  [2348/8792] Generating subquestions (3 steps)...
  [2349/8792] Generating subquestions (2 steps)...
  [2350/8792] Generating subquestions (4 steps)...
  [2351/8792] Generating subquestions (2 steps)...
  [2352/8792] Generating subquestions (2 steps)...
  [2353/8792] Generating subquestions (2 steps)...
  [2354/8792] Generating subquestions (5 steps)...
  [2355/8792] Generating subquestions (3 steps)...
  [2356/8792] Generating subquestions (6 steps)...
  [2357/8792] Generating subquestions (2 steps)...
  [2358/8792] Generating subquestions (5 steps)...
  [2359/8792] Generating subquestions (4 steps)...
  [2360/8792] Generating subquestions (3 steps)...
  [2361/8792] Generating subquestions (5 steps)...
  [2362/8792] Generating subquestions (2 steps)...
  [2363/8792] Generating subquestions (2 steps)...
  [2364/8792] Generating subquestions (3 steps)...
  [2365/8792] Generating subquestions (3 steps)...
  [2366/8792] Generating subquestions (3 steps)...
  [2367/8792] Generating subquestions (7 steps)...
  [2368/8792] Generating subquestions (2 steps)...
  [2369/8792] Generating subquestions (3 steps)...
  [2370/8792] Generating subquestions (2 steps)...
  [2371/8792] Generating subquestions (2 steps)...
  [2372/8792] Generating subquestions (4 steps)...
  [2373/8792] Generating subquestions (5 steps)...
  [2374/8792] Generating subquestions (2 steps)...
  [2375/8792] Generating subquestions (5 steps)...
  [2376/8792] Generating subquestions (2 steps)...
  [2377/8792] Generating subquestions (3 steps)...
  [2378/8792] Generating subquestions (3 steps)...
  [2379/8792] Generating subquestions (4 steps)...
  [2380/8792] Generating subquestions (4 steps)...
  [2381/8792] Generating subquestions (2 steps)...
  [2382/8792] Generating subquestions (3 steps)...
  [2383/8792] Generating subquestions (4 steps)...
  [2384/8792] Generating subquestions (3 steps)...
  [2385/8792] Generating subquestions (2 steps)...
  [2387/8792] Generating subquestions (4 steps)...
  [2388/8792] Generating subquestions (6 steps)...
  [2389/8792] Generating subquestions (3 steps)...
  [2391/8792] Generating subquestions (5 steps)...
  [2392/8792] Generating subquestions (3 steps)...
  [2393/8792] Generating subquestions (5 steps)...
  [2394/8792] Generating subquestions (3 steps)...
  [2396/8792] Generating subquestions (3 steps)...
  [2397/8792] Generating subquestions (3 steps)...
  [2398/8792] Generating subquestions (3 steps)...
  [2399/8792] Generating subquestions (3 steps)...
  [2400/8792] Generating subquestions (2 steps)...
  [2401/8792] Generating subquestions (3 steps)...
  [2402/8792] Generating subquestions (7 steps)...
  [2403/8792] Generating subquestions (2 steps)...
  [2404/8792] Generating subquestions (4 steps)...
  [2405/8792] Generating subquestions (3 steps)...
  [2407/8792] Generating subquestions (3 steps)...
  [2408/8792] Generating subquestions (3 steps)...
  [2409/8792] Generating subquestions (2 steps)...
  [2410/8792] Generating subquestions (5 steps)...
  [2411/8792] Generating subquestions (2 steps)...
  [2412/8792] Generating subquestions (3 steps)...
  [2413/8792] Generating subquestions (3 steps)...
  [2414/8792] Generating subquestions (5 steps)...
  [2415/8792] Generating subquestions (2 steps)...
  [2416/8792] Generating subquestions (3 steps)...
  [2417/8792] Generating subquestions (3 steps)...
  [2418/8792] Generating subquestions (3 steps)...
  [2419/8792] Generating subquestions (3 steps)...
  [2420/8792] Generating subquestions (4 steps)...
  [2421/8792] Generating subquestions (3 steps)...
  [2422/8792] Generating subquestions (5 steps)...
  [2423/8792] Generating subquestions (6 steps)...
  [2424/8792] Generating subquestions (2 steps)...
  [2425/8792] Generating subquestions (3 steps)...
  [2426/8792] Generating subquestions (3 steps)...
  [2427/8792] Generating subquestions (2 steps)...
  [2428/8792] Generating subquestions (3 steps)...
  [2429/8792] Generating subquestions (4 steps)...
  [2431/8792] Generating subquestions (4 steps)...
  [2433/8792] Generating subquestions (5 steps)...
  [2434/8792] Generating subquestions (3 steps)...
  [2435/8792] Generating subquestions (3 steps)...
  [2436/8792] Generating subquestions (3 steps)...
  [2437/8792] Generating subquestions (2 steps)...
  [2438/8792] Generating subquestions (5 steps)...
  [2439/8792] Generating subquestions (2 steps)...
  [2441/8792] Generating subquestions (3 steps)...
  [2442/8792] Generating subquestions (2 steps)...
  [2443/8792] Generating subquestions (2 steps)...
  [2444/8792] Generating subquestions (4 steps)...
  [2445/8792] Generating subquestions (3 steps)...
  [2446/8792] Generating subquestions (3 steps)...
  [2447/8792] Generating subquestions (3 steps)...
  [2448/8792] Generating subquestions (2 steps)...
  [2449/8792] Generating subquestions (3 steps)...
  [2450/8792] Generating subquestions (4 steps)...
  [2451/8792] Generating subquestions (2 steps)...
  [2452/8792] Generating subquestions (2 steps)...
  [2454/8792] Generating subquestions (4 steps)...
  [2455/8792] Generating subquestions (4 steps)...
  [2456/8792] Generating subquestions (2 steps)...
  [2458/8792] Generating subquestions (3 steps)...
  [2459/8792] Generating subquestions (4 steps)...
  [2460/8792] Generating subquestions (3 steps)...
  [2462/8792] Generating subquestions (2 steps)...
  [2463/8792] Generating subquestions (2 steps)...
  [2464/8792] Generating subquestions (5 steps)...
  [2465/8792] Generating subquestions (2 steps)...
  [2466/8792] Generating subquestions (3 steps)...
  [2467/8792] Generating subquestions (2 steps)...
  [2468/8792] Generating subquestions (3 steps)...
  [2469/8792] Generating subquestions (3 steps)...
  [2470/8792] Generating subquestions (2 steps)...
  [2471/8792] Generating subquestions (2 steps)...
  [2472/8792] Generating subquestions (2 steps)...
  [2475/8792] Generating subquestions (3 steps)...
  [2476/8792] Generating subquestions (4 steps)...
  [2477/8792] Generating subquestions (2 steps)...
  [2478/8792] Generating subquestions (2 steps)...
  [2479/8792] Generating subquestions (4 steps)...
  [2480/8792] Generating subquestions (3 steps)...
  [2481/8792] Generating subquestions (2 steps)...
  [2482/8792] Generating subquestions (2 steps)...
  [2483/8792] Generating subquestions (3 steps)...
  [2484/8792] Generating subquestions (3 steps)...
  [2485/8792] Generating subquestions (3 steps)...
  [2486/8792] Generating subquestions (4 steps)...
  [2487/8792] Generating subquestions (5 steps)...
  [2488/8792] Generating subquestions (5 steps)...
  [2489/8792] Generating subquestions (4 steps)...
  [2490/8792] Generating subquestions (2 steps)...
  [2491/8792] Generating subquestions (4 steps)...
  [2492/8792] Generating subquestions (6 steps)...
  [2494/8792] Generating subquestions (3 steps)...
  [2495/8792] Generating subquestions (4 steps)...
  [2496/8792] Generating subquestions (3 steps)...
  [2497/8792] Generating subquestions (3 steps)...
  [2498/8792] Generating subquestions (2 steps)...
  [2499/8792] Generating subquestions (2 steps)...
  [2500/8792] Generating subquestions (2 steps)...
  [2501/8792] Generating subquestions (2 steps)...
  [2502/8792] Generating subquestions (3 steps)...
  [2503/8792] Generating subquestions (3 steps)...
  [2504/8792] Generating subquestions (3 steps)...
  [2505/8792] Generating subquestions (3 steps)...
  [2506/8792] Generating subquestions (3 steps)...
  [2507/8792] Generating subquestions (2 steps)...
  [2508/8792] Generating subquestions (4 steps)...
  [2509/8792] Generating subquestions (6 steps)...
  [2510/8792] Generating subquestions (2 steps)...
  [2511/8792] Generating subquestions (3 steps)...
  [2512/8792] Generating subquestions (2 steps)...
  [2513/8792] Generating subquestions (6 steps)...
  [2514/8792] Generating subquestions (3 steps)...
  [2515/8792] Generating subquestions (3 steps)...
  [2516/8792] Generating subquestions (4 steps)...
  [2519/8792] Generating subquestions (3 steps)...
  [2520/8792] Generating subquestions (3 steps)...
  [2521/8792] Generating subquestions (5 steps)...
  [2522/8792] Generating subquestions (4 steps)...
  [2523/8792] Generating subquestions (3 steps)...
  [2524/8792] Generating subquestions (4 steps)...
  [2525/8792] Generating subquestions (3 steps)...
  [2528/8792] Generating subquestions (3 steps)...
  [2529/8792] Generating subquestions (3 steps)...
  [2530/8792] Generating subquestions (3 steps)...
  [2531/8792] Generating subquestions (4 steps)...
  [2532/8792] Generating subquestions (2 steps)...
  [2533/8792] Generating subquestions (2 steps)...
  [2534/8792] Generating subquestions (3 steps)...
  [2535/8792] Generating subquestions (5 steps)...
  [2536/8792] Generating subquestions (3 steps)...
  [2537/8792] Generating subquestions (2 steps)...
  [2538/8792] Generating subquestions (3 steps)...
  [2539/8792] Generating subquestions (4 steps)...
  [2540/8792] Generating subquestions (3 steps)...
  [2543/8792] Generating subquestions (3 steps)...
  [2544/8792] Generating subquestions (3 steps)...
  [2545/8792] Generating subquestions (2 steps)...
  [2546/8792] Generating subquestions (2 steps)...
  [2547/8792] Generating subquestions (5 steps)...
  [2548/8792] Generating subquestions (2 steps)...
  [2549/8792] Generating subquestions (4 steps)...
  [2550/8792] Generating subquestions (6 steps)...
  [2551/8792] Generating subquestions (2 steps)...
  [2552/8792] Generating subquestions (6 steps)...
  [2553/8792] Generating subquestions (2 steps)...
  [2554/8792] Generating subquestions (2 steps)...
  [2555/8792] Generating subquestions (4 steps)...
  [2556/8792] Generating subquestions (3 steps)...
  [2557/8792] Generating subquestions (4 steps)...
  [2558/8792] Generating subquestions (4 steps)...
  [2559/8792] Generating subquestions (2 steps)...
  [2560/8792] Generating subquestions (2 steps)...
  [2561/8792] Generating subquestions (2 steps)...
  [2562/8792] Generating subquestions (2 steps)...
  [2564/8792] Generating subquestions (3 steps)...
  [2565/8792] Generating subquestions (4 steps)...
  [2566/8792] Generating subquestions (3 steps)...
  [2567/8792] Generating subquestions (2 steps)...
  [2568/8792] Generating subquestions (4 steps)...
  [2569/8792] Generating subquestions (3 steps)...
  [2571/8792] Generating subquestions (2 steps)...
  [2572/8792] Generating subquestions (2 steps)...
  [2573/8792] Generating subquestions (2 steps)...
  [2574/8792] Generating subquestions (3 steps)...
  [2575/8792] Generating subquestions (2 steps)...
  [2576/8792] Generating subquestions (3 steps)...
  [2577/8792] Generating subquestions (6 steps)...
  [2578/8792] Generating subquestions (2 steps)...
  [2579/8792] Generating subquestions (2 steps)...
  [2580/8792] Generating subquestions (4 steps)...
  [2581/8792] Generating subquestions (2 steps)...
  [2582/8792] Generating subquestions (3 steps)...
  [2584/8792] Generating subquestions (2 steps)...
  [2585/8792] Generating subquestions (3 steps)...
  [2586/8792] Generating subquestions (4 steps)...
  [2587/8792] Generating subquestions (3 steps)...
  [2589/8792] Generating subquestions (4 steps)...
  [2590/8792] Generating subquestions (3 steps)...
  [2591/8792] Generating subquestions (4 steps)...
  [2592/8792] Generating subquestions (2 steps)...
  [2593/8792] Generating subquestions (4 steps)...
  [2594/8792] Generating subquestions (3 steps)...
  [2595/8792] Generating subquestions (2 steps)...
  [2596/8792] Generating subquestions (3 steps)...
  [2597/8792] Generating subquestions (3 steps)...
  [2598/8792] Generating subquestions (4 steps)...
  [2599/8792] Generating subquestions (2 steps)...
  [2600/8792] Generating subquestions (4 steps)...
  [2602/8792] Generating subquestions (3 steps)...
  [2603/8792] Generating subquestions (3 steps)...
  [2605/8792] Generating subquestions (3 steps)...
  [2606/8792] Generating subquestions (5 steps)...
  [2607/8792] Generating subquestions (3 steps)...
  [2608/8792] Generating subquestions (4 steps)...
  [2609/8792] Generating subquestions (2 steps)...
  [2610/8792] Generating subquestions (6 steps)...
  [2611/8792] Generating subquestions (4 steps)...
  [2612/8792] Generating subquestions (3 steps)...
  [2613/8792] Generating subquestions (3 steps)...
  [2614/8792] Generating subquestions (3 steps)...
  [2615/8792] Generating subquestions (4 steps)...
  [2616/8792] Generating subquestions (2 steps)...
  [2617/8792] Generating subquestions (2 steps)...
  [2618/8792] Generating subquestions (5 steps)...
  [2619/8792] Generating subquestions (2 steps)...
  [2620/8792] Generating subquestions (2 steps)...
  [2621/8792] Generating subquestions (6 steps)...
  [2622/8792] Generating subquestions (3 steps)...
  [2623/8792] Generating subquestions (4 steps)...
  [2624/8792] Generating subquestions (6 steps)...
  [2625/8792] Generating subquestions (2 steps)...
  [2626/8792] Generating subquestions (3 steps)...
  [2627/8792] Generating subquestions (4 steps)...
  [2628/8792] Generating subquestions (5 steps)...
  [2629/8792] Generating subquestions (3 steps)...
  [2630/8792] Generating subquestions (2 steps)...
  [2631/8792] Generating subquestions (5 steps)...
  [2632/8792] Generating subquestions (4 steps)...
  [2633/8792] Generating subquestions (7 steps)...
  [2634/8792] Generating subquestions (3 steps)...
  [2635/8792] Generating subquestions (5 steps)...
  [2636/8792] Generating subquestions (5 steps)...
  [2637/8792] Generating subquestions (3 steps)...
  [2638/8792] Generating subquestions (2 steps)...
  [2640/8792] Generating subquestions (2 steps)...
  [2641/8792] Generating subquestions (2 steps)...
  [2642/8792] Generating subquestions (3 steps)...
  [2643/8792] Generating subquestions (2 steps)...
  [2644/8792] Generating subquestions (4 steps)...
  [2645/8792] Generating subquestions (2 steps)...
  [2646/8792] Generating subquestions (4 steps)...
  [2647/8792] Generating subquestions (2 steps)...
  [2648/8792] Generating subquestions (3 steps)...
  [2649/8792] Generating subquestions (3 steps)...
  [2650/8792] Generating subquestions (2 steps)...
  [2651/8792] Generating subquestions (2 steps)...
  [2652/8792] Generating subquestions (2 steps)...
  [2653/8792] Generating subquestions (4 steps)...
  [2654/8792] Generating subquestions (5 steps)...
  [2655/8792] Generating subquestions (2 steps)...
  [2658/8792] Generating subquestions (2 steps)...
  [2659/8792] Generating subquestions (4 steps)...
  [2661/8792] Generating subquestions (6 steps)...
  [2662/8792] Generating subquestions (2 steps)...
  [2663/8792] Generating subquestions (2 steps)...
  [2664/8792] Generating subquestions (2 steps)...
  [2665/8792] Generating subquestions (2 steps)...
  [2667/8792] Generating subquestions (3 steps)...
  [2668/8792] Generating subquestions (6 steps)...
  [2669/8792] Generating subquestions (4 steps)...
  [2670/8792] Generating subquestions (3 steps)...
  [2671/8792] Generating subquestions (2 steps)...
  [2672/8792] Generating subquestions (2 steps)...
  [2673/8792] Generating subquestions (3 steps)...
  [2674/8792] Generating subquestions (2 steps)...
  [2675/8792] Generating subquestions (2 steps)...
  [2676/8792] Generating subquestions (2 steps)...
  [2677/8792] Generating subquestions (2 steps)...
  [2678/8792] Generating subquestions (4 steps)...
  [2679/8792] Generating subquestions (2 steps)...
  [2680/8792] Generating subquestions (2 steps)...
  [2681/8792] Generating subquestions (4 steps)...
  [2682/8792] Generating subquestions (4 steps)...
  [2683/8792] Generating subquestions (2 steps)...
  [2684/8792] Generating subquestions (4 steps)...
  [2685/8792] Generating subquestions (8 steps)...
  [2686/8792] Generating subquestions (5 steps)...
  [2688/8792] Generating subquestions (3 steps)...
  [2689/8792] Generating subquestions (4 steps)...
  [2690/8792] Generating subquestions (3 steps)...
  [2691/8792] Generating subquestions (4 steps)...
  [2692/8792] Generating subquestions (2 steps)...
  [2693/8792] Generating subquestions (3 steps)...
  [2694/8792] Generating subquestions (5 steps)...
  [2695/8792] Generating subquestions (2 steps)...
  [2696/8792] Generating subquestions (4 steps)...
  [2697/8792] Generating subquestions (3 steps)...
  [2698/8792] Generating subquestions (3 steps)...
  [2699/8792] Generating subquestions (3 steps)...
  [2700/8792] Generating subquestions (2 steps)...
  [2701/8792] Generating subquestions (3 steps)...
  [2702/8792] Generating subquestions (4 steps)...
  [2703/8792] Generating subquestions (5 steps)...
  [2704/8792] Generating subquestions (3 steps)...
  [2706/8792] Generating subquestions (2 steps)...
  [2707/8792] Generating subquestions (3 steps)...
  [2708/8792] Generating subquestions (3 steps)...
  [2709/8792] Generating subquestions (4 steps)...
  [2710/8792] Generating subquestions (2 steps)...
  [2711/8792] Generating subquestions (3 steps)...
  [2712/8792] Generating subquestions (2 steps)...
  [2713/8792] Generating subquestions (2 steps)...
  [2714/8792] Generating subquestions (3 steps)...
  [2715/8792] Generating subquestions (6 steps)...
  [2716/8792] Generating subquestions (2 steps)...
  [2717/8792] Generating subquestions (2 steps)...
  [2718/8792] Generating subquestions (4 steps)...
  [2719/8792] Generating subquestions (6 steps)...
  [2720/8792] Generating subquestions (3 steps)...
  [2722/8792] Generating subquestions (2 steps)...
  [2723/8792] Generating subquestions (3 steps)...
  [2725/8792] Generating subquestions (6 steps)...
  [2726/8792] Generating subquestions (2 steps)...
  [2727/8792] Generating subquestions (2 steps)...
  [2728/8792] Generating subquestions (3 steps)...
  [2729/8792] Generating subquestions (6 steps)...
  [2730/8792] Generating subquestions (2 steps)...
  [2731/8792] Generating subquestions (3 steps)...
  [2732/8792] Generating subquestions (2 steps)...
  [2733/8792] Generating subquestions (7 steps)...
  [2734/8792] Generating subquestions (4 steps)...
  [2735/8792] Generating subquestions (4 steps)...
  [2736/8792] Generating subquestions (7 steps)...
  [2737/8792] Generating subquestions (3 steps)...
  [2738/8792] Generating subquestions (5 steps)...
  [2739/8792] Generating subquestions (4 steps)...
  [2740/8792] Generating subquestions (3 steps)...
  [2741/8792] Generating subquestions (2 steps)...
  [2742/8792] Generating subquestions (2 steps)...
  [2743/8792] Generating subquestions (4 steps)...
  [2744/8792] Generating subquestions (5 steps)...
  [2745/8792] Generating subquestions (2 steps)...
  [2746/8792] Generating subquestions (2 steps)...
  [2747/8792] Generating subquestions (3 steps)...
  [2748/8792] Generating subquestions (2 steps)...
  [2749/8792] Generating subquestions (4 steps)...
  [2750/8792] Generating subquestions (3 steps)...
  [2751/8792] Generating subquestions (4 steps)...
  [2752/8792] Generating subquestions (2 steps)...
  [2753/8792] Generating subquestions (3 steps)...
  [2754/8792] Generating subquestions (3 steps)...
  [2755/8792] Generating subquestions (2 steps)...
  [2756/8792] Generating subquestions (5 steps)...
  [2757/8792] Generating subquestions (3 steps)...
  [2758/8792] Generating subquestions (5 steps)...
  [2759/8792] Generating subquestions (2 steps)...
  [2760/8792] Generating subquestions (5 steps)...
  [2761/8792] Generating subquestions (3 steps)...
  [2762/8792] Generating subquestions (4 steps)...
  [2763/8792] Generating subquestions (3 steps)...
  [2764/8792] Generating subquestions (3 steps)...
  [2765/8792] Generating subquestions (4 steps)...
  [2766/8792] Generating subquestions (2 steps)...
  [2767/8792] Generating subquestions (3 steps)...
  [2768/8792] Generating subquestions (4 steps)...
  [2769/8792] Generating subquestions (2 steps)...
  [2771/8792] Generating subquestions (6 steps)...
  [2772/8792] Generating subquestions (3 steps)...
  [2773/8792] Generating subquestions (3 steps)...
  [2774/8792] Generating subquestions (3 steps)...
  [2775/8792] Generating subquestions (4 steps)...
  [2776/8792] Generating subquestions (3 steps)...
  [2777/8792] Generating subquestions (4 steps)...
  [2778/8792] Generating subquestions (3 steps)...
  [2780/8792] Generating subquestions (2 steps)...
  [2781/8792] Generating subquestions (5 steps)...
  [2783/8792] Generating subquestions (2 steps)...
  [2784/8792] Generating subquestions (5 steps)...
  [2785/8792] Generating subquestions (4 steps)...
  [2786/8792] Generating subquestions (4 steps)...
  [2787/8792] Generating subquestions (2 steps)...
  [2788/8792] Generating subquestions (4 steps)...
  [2789/8792] Generating subquestions (6 steps)...
  [2790/8792] Generating subquestions (3 steps)...
  [2791/8792] Generating subquestions (4 steps)...
  [2792/8792] Generating subquestions (2 steps)...
  [2793/8792] Generating subquestions (4 steps)...
  [2794/8792] Generating subquestions (2 steps)...
  [2795/8792] Generating subquestions (7 steps)...
  [2796/8792] Generating subquestions (2 steps)...
  [2797/8792] Generating subquestions (4 steps)...
  [2798/8792] Generating subquestions (4 steps)...
  [2799/8792] Generating subquestions (5 steps)...
  [2800/8792] Generating subquestions (2 steps)...
  [2801/8792] Generating subquestions (3 steps)...
  [2802/8792] Generating subquestions (6 steps)...
  [2803/8792] Generating subquestions (6 steps)...
  [2804/8792] Generating subquestions (2 steps)...
  [2805/8792] Generating subquestions (3 steps)...
  [2806/8792] Generating subquestions (3 steps)...
  [2807/8792] Generating subquestions (2 steps)...
  [2808/8792] Generating subquestions (3 steps)...
  [2809/8792] Generating subquestions (3 steps)...
  [2810/8792] Generating subquestions (4 steps)...
  [2812/8792] Generating subquestions (6 steps)...
  [2813/8792] Generating subquestions (2 steps)...
  [2814/8792] Generating subquestions (3 steps)...
  [2815/8792] Generating subquestions (2 steps)...
  [2816/8792] Generating subquestions (2 steps)...
  [2817/8792] Generating subquestions (2 steps)...
  [2818/8792] Generating subquestions (4 steps)...
