Loaded 7,473 train + 1,319 test = 8,792 total rows
Processing shard [7920:8792] → 872 rows

Loading model: Qwen/Qwen2.5-7B-Instruct
Model loaded.

── Building gsm8k_trees_7920_8792.csv ──
  [700/872] Generating subquestions (4 steps)...
  [701/872] Generating subquestions (4 steps)...
  [702/872] Generating subquestions (2 steps)...
  [703/872] Generating subquestions (2 steps)...
  [704/872] Generating subquestions (2 steps)...
  [705/872] Generating subquestions (3 steps)...
  [707/872] Generating subquestions (4 steps)...
  [708/872] Generating subquestions (3 steps)...
  [709/872] Generating subquestions (3 steps)...
  [710/872] Generating subquestions (8 steps)...
  [711/872] Generating subquestions (3 steps)...
  [712/872] Generating subquestions (2 steps)...
  [713/872] Generating subquestions (3 steps)...
  [714/872] Generating subquestions (2 steps)...
  [715/872] Generating subquestions (6 steps)...
  [716/872] Generating subquestions (2 steps)...
  [717/872] Generating subquestions (2 steps)...
  [718/872] Generating subquestions (6 steps)...
  [719/872] Generating subquestions (6 steps)...
  [720/872] Generating subquestions (4 steps)...
  [721/872] Generating subquestions (2 steps)...
  [723/872] Generating subquestions (4 steps)...
  [724/872] Generating subquestions (2 steps)...
  [725/872] Generating subquestions (4 steps)...
  [726/872] Generating subquestions (5 steps)...
  [727/872] Generating subquestions (3 steps)...
  [728/872] Generating subquestions (6 steps)...
  [729/872] Generating subquestions (6 steps)...
  [730/872] Generating subquestions (6 steps)...
  [731/872] Generating subquestions (5 steps)...
  [732/872] Generating subquestions (2 steps)...
  [733/872] Generating subquestions (2 steps)...
  [734/872] Generating subquestions (2 steps)...
  [736/872] Generating subquestions (3 steps)...
  [737/872] Generating subquestions (4 steps)...
  [738/872] Generating subquestions (2 steps)...
  [739/872] Generating subquestions (5 steps)...
  [740/872] Generating subquestions (3 steps)...
  [741/872] Generating subquestions (3 steps)...
  [742/872] Generating subquestions (3 steps)...
  [743/872] Generating subquestions (3 steps)...
  [744/872] Generating subquestions (2 steps)...
  [745/872] Generating subquestions (3 steps)...
  [746/872] Generating subquestions (4 steps)...
  [747/872] Generating subquestions (5 steps)...
  [748/872] Generating subquestions (2 steps)...
  [749/872] Generating subquestions (3 steps)...
  [750/872] Generating subquestions (4 steps)...
  [751/872] Generating subquestions (6 steps)...
  [752/872] Generating subquestions (5 steps)...
  [753/872] Generating subquestions (5 steps)...
  [754/872] Generating subquestions (2 steps)...
  [755/872] Generating subquestions (4 steps)...
  [756/872] Generating subquestions (4 steps)...
  [757/872] Generating subquestions (3 steps)...
  [758/872] Generating subquestions (2 steps)...
  [759/872] Generating subquestions (3 steps)...
  [760/872] Generating subquestions (3 steps)...
  [761/872] Generating subquestions (4 steps)...
  [763/872] Generating subquestions (6 steps)...
  [764/872] Generating subquestions (2 steps)...
  [765/872] Generating subquestions (4 steps)...
  [766/872] Generating subquestions (3 steps)...
  [767/872] Generating subquestions (4 steps)...
  [768/872] Generating subquestions (2 steps)...
  [769/872] Generating subquestions (5 steps)...
  [770/872] Generating subquestions (4 steps)...
  [771/872] Generating subquestions (7 steps)...
  [772/872] Generating subquestions (3 steps)...
  [773/872] Generating subquestions (3 steps)...
  [775/872] Generating subquestions (2 steps)...
  [776/872] Generating subquestions (2 steps)...
  [777/872] Generating subquestions (3 steps)...
  [778/872] Generating subquestions (2 steps)...
  [780/872] Generating subquestions (5 steps)...
  [781/872] Generating subquestions (3 steps)...
  [782/872] Generating subquestions (2 steps)...
  [783/872] Generating subquestions (4 steps)...
  [784/872] Generating subquestions (5 steps)...
  [785/872] Generating subquestions (2 steps)...
  [786/872] Generating subquestions (2 steps)...
  [787/872] Generating subquestions (5 steps)...
  [789/872] Generating subquestions (2 steps)...
  [790/872] Generating subquestions (3 steps)...
  [791/872] Generating subquestions (2 steps)...
  [792/872] Generating subquestions (3 steps)...
  [793/872] Generating subquestions (5 steps)...
  [794/872] Generating subquestions (5 steps)...
  [795/872] Generating subquestions (5 steps)...
  [796/872] Generating subquestions (4 steps)...
  [798/872] Generating subquestions (4 steps)...
  [800/872] Generating subquestions (2 steps)...
  [801/872] Generating subquestions (3 steps)...
  [802/872] Generating subquestions (2 steps)...
  [803/872] Generating subquestions (7 steps)...
  [804/872] Generating subquestions (2 steps)...
  [805/872] Generating subquestions (5 steps)...
  [806/872] Generating subquestions (3 steps)...
  [807/872] Generating subquestions (3 steps)...
  [808/872] Generating subquestions (3 steps)...
  [809/872] Generating subquestions (4 steps)...
  [810/872] Generating subquestions (4 steps)...
  [811/872] Generating subquestions (2 steps)...
  [812/872] Generating subquestions (3 steps)...
  [813/872] Generating subquestions (3 steps)...
  [814/872] Generating subquestions (2 steps)...
  [815/872] Generating subquestions (4 steps)...
  [816/872] Generating subquestions (3 steps)...
  [817/872] Generating subquestions (4 steps)...
  [818/872] Generating subquestions (5 steps)...
  [819/872] Generating subquestions (4 steps)...
  [820/872] Generating subquestions (4 steps)...
  [821/872] Generating subquestions (4 steps)...
  [822/872] Generating subquestions (2 steps)...
  [823/872] Generating subquestions (3 steps)...
  [824/872] Generating subquestions (3 steps)...
  [825/872] Generating subquestions (4 steps)...
  [826/872] Generating subquestions (4 steps)...
  [827/872] Generating subquestions (2 steps)...
  [828/872] Generating subquestions (3 steps)...
  [829/872] Generating subquestions (3 steps)...
  [830/872] Generating subquestions (3 steps)...
  [831/872] Generating subquestions (3 steps)...
  [832/872] Generating subquestions (2 steps)...
  [833/872] Generating subquestions (2 steps)...
  [835/872] Generating subquestions (4 steps)...
  [836/872] Generating subquestions (4 steps)...
  [837/872] Generating subquestions (5 steps)...
  [838/872] Generating subquestions (3 steps)...
  [839/872] Generating subquestions (2 steps)...
  [840/872] Generating subquestions (3 steps)...
  [841/872] Generating subquestions (3 steps)...
  [842/872] Generating subquestions (7 steps)...
  [843/872] Generating subquestions (4 steps)...
  [844/872] Generating subquestions (4 steps)...
  [845/872] Generating subquestions (2 steps)...
  [846/872] Generating subquestions (3 steps)...
  [847/872] Generating subquestions (2 steps)...
  [848/872] Generating subquestions (5 steps)...
  [849/872] Generating subquestions (5 steps)...
  [850/872] Generating subquestions (4 steps)...
  [851/872] Generating subquestions (6 steps)...
  [852/872] Generating subquestions (5 steps)...
  [853/872] Generating subquestions (3 steps)...
  [854/872] Generating subquestions (4 steps)...
  [855/872] Generating subquestions (6 steps)...
  [856/872] Generating subquestions (4 steps)...
  [857/872] Generating subquestions (4 steps)...
  [858/872] Generating subquestions (2 steps)...
  [859/872] Generating subquestions (2 steps)...
  [860/872] Generating subquestions (4 steps)...
  [861/872] Generating subquestions (3 steps)...
  [862/872] Generating subquestions (2 steps)...
  [863/872] Generating subquestions (3 steps)...
  [864/872] Generating subquestions (4 steps)...
  [865/872] Generating subquestions (2 steps)...
  [866/872] Generating subquestions (4 steps)...
  [867/872] Generating subquestions (3 steps)...
  [868/872] Generating subquestions (5 steps)...
  [869/872] Generating subquestions (3 steps)...
  [870/872] Generating subquestions (4 steps)...
  [872/872] Generating subquestions (3 steps)...
  Done. empty rows (skipped): 54
Saved 872 rows → out/gsm8k_trees_7920_8792.csv
